央视,#genre#
山东新闻,http://www.xuweihome.vip:2222/udp/239.253.248.23:8000
山东农科,http://www.xuweihome.vip:2222/udp/239.253.248.24:8000
山东体育,http://www.xuweihome.vip:2222/udp/239.253.248.22:8000
山东生活,http://www.xuweihome.vip:2222/udp/239.253.248.20:8000
山东少儿,http://www.xuweihome.vip:2222/udp/239.253.248.25:8000
山东公共,http://www.xuweihome.vip:2222/udp/239.253.248.23:8000
山东教育,http://www.xuweihome.vip:2222/udp/239.253.248.59:8000
山东齐鲁,http://124.128.73.58:9901/tsfile/live/1000_1.m3u8?key=txiptv
山东体育,http://124.128.73.58:9901/tsfile/live/1001_1.m3u8?key=txiptv
山东综艺,http://124.128.73.58:9901/tsfile/live/1002_1.m3u8?key=txiptv
山东影视,http://124.128.73.58:9901/tsfile/live/1009_1.m3u8?key=txiptv
山东齐鲁,http://aa.liuxuserver.cn:1025/udp/239.253.254.114:8000
山东综艺,http://aa.liuxuserver.cn:1025/udp/239.253.254.159:8000
山东文旅,http://aa.liuxuserver.cn:1025/udp/239.253.254.160:8000
山东新闻,http://aa.liuxuserver.cn:1025/udp/239.253.254.23:8000
山东农科,http://aa.liuxuserver.cn:1025/udp/239.253.254.24:8000
山东体育,http://aa.liuxuserver.cn:1025/udp/239.253.254.22:8000
山东生活,http://aa.liuxuserver.cn:1025/udp/239.253.254.151:8000
山东少儿,http://aa.liuxuserver.cn:1025/udp/239.253.254.25:8000
山东公共,http://aa.liuxuserver.cn:1025/udp/239.253.254.23:8000
山东教育,http://aa.liuxuserver.cn:1025/udp/239.253.254.59:8000
济南,#genre#
济南综合,http://124.128.73.58:9901/tsfile/live/1003_1.m3u8?key=txiptv
济南都市,http://124.128.73.58:9901/tsfile/live/1004_1.m3u8?key=txiptv
济南影视,http://124.128.73.58:9901/tsfile/live/1005_1.m3u8?key=txiptv
济南新闻综合高清,http://221.0.78.198:1681/hls/10279/index.m3u8
济南教育高清,http://221.0.78.198:1681/hls/10286/index.m3u8
CHC,#genre#
CHC家庭影院,http://www.xuweihome.vip:2222/udp/239.253.248.152:8000
CHC动作电影,http://www.xuweihome.vip:2222/udp/239.253.248.153:8000
CHC高清电影,http://www.xuweihome.vip:2222/udp/239.253.248.154:8000
CHC家庭影院,http://aa.liuxuserver.cn:1025/udp/239.253.254.152:8000
CHC动作电影,http://aa.liuxuserver.cn:1025/udp/239.253.254.153:8000
CHC高清电影,http://aa.liuxuserver.cn:1025/udp/239.253.254.154:8000
少儿,#genre#
卡酷少儿,http://www.xuweihome.vip:2222/udp/239.253.248.61:8000
金鹰卡通,http://www.xuweihome.vip:2222/udp/239.253.248.62:8000
炫动卡通,http://www.xuweihome.vip:2222/udp/239.253.248.63:8000
优漫卡通,http://www.xuweihome.vip:2222/udp/239.253.248.64:8000
嘉佳卡通,http://www.xuweihome.vip:2222/udp/239.253.248.65:8000
少儿动画,http://www.xuweihome.vip:2222/udp/239.253.248.127:8000
新动漫,http://www.xuweihome.vip:2222/udp/239.253.248.157:8000
卡酷少儿,http://aa.liuxuserver.cn:1025/udp/239.253.254.66:8000
金鹰卡通,http://aa.liuxuserver.cn:1025/udp/239.253.254.117:8000
炫动卡通,http://aa.liuxuserver.cn:1025/udp/239.253.254.63:8000
优漫卡通,http://aa.liuxuserver.cn:1025/udp/239.253.254.64:8000
嘉佳卡通,http://aa.liuxuserver.cn:1025/udp/239.253.254.65:8000
少儿动画,http://aa.liuxuserver.cn:1025/udp/239.253.254.127:8000
新动漫,http://aa.liuxuserver.cn:1025/udp/239.253.254.157:8000
